movieid	avg_rating	id	tags
1945	4.11	1945	[{'id': 936, 'name': 'loss of mother'}, {'id': 1578, 'name': 'loss of sister'}, {'id': 1608, 'name': 'twin sister'}, {'id': 1646, 'name': 'autism'}, {'id': 1889, 'name': 'lake'}, {'id': 2171, 'name': 'kaspar-hauser-syndrom'}, {'id': 5650, 'name': 'feral child'}, {'id': 5774, 'name': 'forest'}, {'id': 5922, 'name': 'north carolina'}, {'id': 11268, 'name': 'psychologist'}, {'id': 18035, 'name': 'family'}]
527	4.24	527	[{'id': 30, 'name': 'individual'}, {'id': 100, 'name': 'slum'}, {'id': 236, 'name': 'suicide'}, {'id': 331, 'name': 'tattoo'}, {'id': 567, 'name': 'alcohol'}, {'id': 570, 'name': 'rape'}, {'id': 941, 'name': 'tradition'}, {'id': 1452, 'name': 'loss of child'}, {'id': 1551, 'name': 'indigenous'}, {'id': 2300, 'name': 'despair'}, {'id': 2320, 'name': 'violent husband'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2658, 'name': 'new zealand'}, {'id': 2659, 'name': 'maori'}, {'id': 2660, 'name': 'strong woman'}, {'id': 2663, 'name': 'lack of prospects'}, {'id': 2667, 'name': 'maori tradition'}, {'id': 3739, 'name': 'funeral'}, {'id': 6267, 'name': 'approved school '}, {'id': 9986, 'name': 'crush'}, {'id': 10183, 'name': 'independent film'}, {'id': 10508, 'name': 'teacher'}, {'id': 10766, 'name': 'youth gang'}, {'id': 11925, 'name': 'domestic violence'}, {'id': 14819, 'name': 'violence'}, {'id': 15158, 'name': 'rebellious youth'}, {'id': 15237, 'name': 'alcohol abuse'}, {'id': 33841, 'name': 'incest'}, {'id': 156052, 'name': 'unemployment'}]
306	4.16	306	[{'id': 703, 'name': 'detective'}, {'id': 1568, 'name': 'undercover'}, {'id': 3016, 'name': 'security camera'}, {'id': 4230, 'name': 'carousel '}, {'id': 5340, 'name': 'investigation'}, {'id': 6110, 'name': 'weapon'}, {'id': 9663, 'name': 'sequel'}, {'id': 10084, 'name': 'rescue'}, {'id': 10889, 'name': 'counterfeit'}, {'id': 10950, 'name': 'shootout'}, {'id': 11719, 'name': 'dirty cop'}, {'id': 12371, 'name': 'gunfight'}, {'id': 12670, 'name': 'los angeles'}, {'id': 14601, 'name': 'explosion'}, {'id': 14819, 'name': 'violence'}, {'id': 14967, 'name': 'foot chase'}, {'id': 15124, 'name': 'framed'}, {'id': 15483, 'name': 'car chase'}, {'id': 41249, 'name': 'secret service'}, {'id': 155582, 'name': 'amusement park'}, {'id': 156768, 'name': 'roller coaster'}, {'id': 163047, 'name': 'beverly hills'}, {'id': 167541, 'name': 'buddy comedy'}]
2019	4.30	2019	[{'id': 2411, 'name': 'new orleans'}, {'id': 3070, 'name': 'mercenary'}, {'id': 4323, 'name': 'hunting human beings'}, {'id': 10594, 'name': 'money'}, {'id': 13017, 'name': 'drifter'}, {'id': 15137, 'name': 'union'}, {'id': 41599, 'name': 'sailor'}, {'id': 207678, 'name': 'human prey'}]
858	4.34	858	"[{'id': 494, 'name': 'father son relationship'}, {'id': 725, 'name': 'lovesickness'}, {'id': 736, 'name': 'journalist'}, {'id': 936, 'name': 'loss of mother'}, {'id': 1014, 'name': 'loss of lover'}, {'id': 1224, 'name': 'radio station'}, {'id': 1441, 'name': 'christmas party'}, {'id': 2038, 'name': ""love of one's life""}, {'id': 2135, 'name': 'radio'}, {'id': 2350, 'name': 'seattle'}, {'id': 2672, 'name': 'baltimore'}, {'id': 2687, 'name': 'fiancé'}, {'id': 3740, 'name': 'radio presenter'}, {'id': 3800, 'name': 'airplane'}, {'id': 4305, 'name': 'radio transmission'}, {'id': 4306, 'name': 'observation deck'}, {'id': 6054, 'name': 'friendship'}, {'id': 6059, 'name': 'unsociability'}, {'id': 187056, 'name': 'woman director'}]"
922	4.18	922	[{'id': 798, 'name': 'sheriff'}, {'id': 800, 'name': 'bounty'}, {'id': 801, 'name': 'bounty hunter'}, {'id': 1419, 'name': 'gun'}, {'id': 2013, 'name': 'attempted murder'}, {'id': 3246, 'name': 'prosecution'}, {'id': 3731, 'name': 'illness and injury'}, {'id': 3737, 'name': 'dying and death'}, {'id': 9454, 'name': 'frontier'}, {'id': 9826, 'name': 'murder'}, {'id': 12999, 'name': 'black and white'}, {'id': 207928, 'name': '19th century'}, {'id': 222114, 'name': 'fear of dying'}, {'id': 231680, 'name': 'wanted dead or alive'}]
1939	4.20	1939	[{'id': 703, 'name': 'detective'}, {'id': 1523, 'name': 'obsession'}, {'id': 5340, 'name': 'investigation'}, {'id': 5918, 'name': 'painting'}, {'id': 5920, 'name': 'advertising expert'}, {'id': 9826, 'name': 'murder'}, {'id': 9840, 'name': 'romance'}, {'id': 9937, 'name': 'suspense'}, {'id': 14780, 'name': 'investigator'}, {'id': 33632, 'name': 'apartment'}, {'id': 155436, 'name': 'classic noir'}]
260	4.14	260	[{'id': 212, 'name': 'london england'}, {'id': 388, 'name': 'scotland'}, {'id': 770, 'name': 'scotland yard'}, {'id': 772, 'name': 'handcuffs'}, {'id': 1328, 'name': 'secret'}, {'id': 1491, 'name': 'entertainer'}, {'id': 2051, 'name': 'intelligence'}, {'id': 2311, 'name': 'cabaret'}, {'id': 4289, 'name': 'secret agent'}, {'id': 9826, 'name': 'murder'}, {'id': 10718, 'name': 'fugitive'}, {'id': 13008, 'name': 'train'}, {'id': 218567, 'name': 'memorization'}, {'id': 226499, 'name': 'manhunt'}, {'id': 236566, 'name': 'handcuffed together'}, {'id': 236567, 'name': 'held against will'}, {'id': 236568, 'name': 'bickering couple'}, {'id': 236569, 'name': 'wrongly accused'}]
947	4.25	947	[{'id': 487, 'name': 'cairo'}, {'id': 1975, 'name': 'arabian'}, {'id': 2504, 'name': 'world war i'}, {'id': 2673, 'name': 'horse'}, {'id': 3575, 'name': 'jerusalem'}, {'id': 4100, 'name': 'british army'}, {'id': 4107, 'name': 'british empire'}, {'id': 4535, 'name': 'damascus'}, {'id': 4717, 'name': 'camel'}, {'id': 6091, 'name': 'war'}, {'id': 18034, 'name': 'desert'}, {'id': 173259, 'name': 'arab'}, {'id': 214410, 'name': 'ottoman empire'}]
903	4.13	903	[{'id': 378, 'name': 'prison'}, {'id': 526, 'name': 'rebel'}, {'id': 936, 'name': 'loss of mother'}, {'id': 2539, 'name': 'harassment'}, {'id': 2883, 'name': 'imprisonment'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4487, 'name': 'boxing match'}, {'id': 10685, 'name': 'escape'}, {'id': 11246, 'name': 'barbed wire'}, {'id': 11430, 'name': 'punched in the face'}, {'id': 12605, 'name': 'eggs'}, {'id': 34079, 'name': 'death'}]
